runnerId,category,position,famname,usrname,time
3024,ארוך,1,ערן,סגל,0:44:38
3058,ארוך,2,איתי,מנור,0:45:09
4002,ארוך,3,יבגני,מאירקוביץ,0:59:28
3582,ארוך,4,גל,איזביצקי,1:06:06
20016,ארוך,5,עופר,מאירוב,1:10:37
1700,ארוך,6,אבי,מלץ,1:12:16
5348,ארוך,7,דניאל,שחורי,1:12:32
3039,ארוך,8,רפי,הימן,1:17:11
4612,ארוך,9,עמוס,יערי,1:19:43
4000,ארוך,10,דניאל,רז-רוטשילד,1:19:46
1026,ארוך,11,אורי,קוצר,1:20:00
3055,ארוך,12,אילן,צוק,1:22:47
3989,ארוך,13,נתי,שמע,1:23:03
3054,ארוך,14,אדי,כצמן,1:23:54
2206,ארוך,15,שלו,פלדמן,1:26:20
4260,ארוך,16,מארינה,מאירקוביץ,1:26:39
4879,ארוך,17,דמיטרי,קוזנצוב,1:27:52
3015,ארוך,18,דמיטרי,פרצ'ונוק,1:29:44
5349,ארוך,19,איתי,שחורי,1:31:03
4838,ארוך,20,תום,סגל,1:32:42
20008,ארוך,21,טטיאנה,זילצובה,1:37:35
522,ארוך,22,יניב,ריינהרץ,1:38:01
6064,ארוך,23,מור,יפה,1:38:18
6658,ארוך,24,אלון,סלפק,1:39:28
6051,ארוך,25,דודי,גורין,1:39:48
6756,ארוך,26,תומר,שהם,1:40:38
3375,ארוך,27,רועי,מנדל,1:42:11
3209,ארוך,28,גיל,גרינברג,1:42:17
4166,ארוך,29,תמיר,אלוש,1:43:39
931,ארוך,30,עינב,ברנס,1:51:03
3033,ארוך,31,גיא,הלר,2:16:22
4547,ארוך,32,ערן,כץ,2:29:29
3417,ארוך,,אסף,אשכנזי,DISQ
20004,ארוך,,נטע,בר-אילן,DISQ
1095,ארוך,,שלמה,רז,DISQ
1755,ארוך,,עופר,יודפת,DISQ
3198,ארוך,,שלומי,כהן,DISQ
1342,בינוני,1,זיו,נוימן,0:52:26
2424,בינוני,2,עופר,גרנט,0:53:45
4377,בינוני,3,אורן,שפירא,0:56:19
2730,בינוני,4,איתן,עמיעז,1:07:36
5105,בינוני,5,שאול,ויסמן,1:08:25
1214,בינוני,6,חגי,אלעד,1:11:33
5052,בינוני,7,איה,ובמן,1:16:40
5116,בינוני,8,ניר,קלקשטיין,1:17:25
20002,בינוני,9,אורי,בן זאב,1:18:15
6949,בינוני,10,איתן,עפרון,1:21:27
6946,בינוני,11,אלדד,עפרון,1:21:55
6785,בינוני,12,שאול,יערי,1:23:43
820,בינוני,13,שמואל,רגב,1:24:44
3453,בינוני,14,דן,וולשטיין,1:25:23
4805,בינוני,15,מודי,בוכבינדר,1:27:46
6326,בינוני,16,משה,שלו,1:35:42
4409,בינוני,17,רמי,ליפמן,1:37:07
2604,בינוני,18,שאול,שפי,1:42:25
20011,בינוני,19,רונן,טל,1:42:38
4841,בינוני,20,יצחק,נוסבוים,1:47:50
3778,בינוני,21,סופיה,מאירקוביץ,1:48:50
115,בינוני,22,אנדרה,קוצר,1:51:24
4210,בינוני,23,אבי,פנפיל,1:56:29
20021,בינוני,24,אור,פז עברי,1:58:59
4410,בינוני,25,יעל,ליפמן,2:00:10
6458,בינוני,26,יזהר,בר-גד,2:02:29
4842,בינוני,27,שרון,נוסבוים,2:09:43
3741,בינוני,28,אלישע,יעקבי,2:15:26
2797,בינוני,29,יהודה,גוטמן,2:17:56
5549,בינוני,30,שימי,חובב,2:30:28
3734,בינוני,31,נעם,מאירי,2:52:17
2489,בינוני,32,משה,רביד,2:53:12
6283,בינוני,33,עופר,זיינפלד,2:57:12
7072,בינוני,34,יובל,אופיר,3:03:15
5944,בינוני,,יואב,שלו,DISQ
3876,בינוני,,ירון,אפרת,DISQ
2784,בינוני,,משה,מנור,DISQ
5913,בינוני,,אלון,שחורי,DISQ
4859,בינוני,,מיה,פלדמן,DISQ
4979,בינוני,,רומן,ברון,DISQ
228,קצר,1,אבנר,הלחמי,0:51:02
741,קצר,2,עוז,איזביצקי,1:00:27
1759,קצר,3,ישראל,קורנברג,1:07:37
605,קצר,4,מאיר,בן-שטרית,1:10:54
5095,קצר,5,ענת,שחר נוימן,1:19:05
2011,קצר,6,יונתן,דביר,1:24:57
6163,קצר,7,גנית,אשכנזי,1:25:55
20003,קצר,8,דני,בן-צבי,1:26:39
7,קצר,9,צביקה,דודלזק,1:29:23
20024,קצר,10,חמוטל,שלום,1:31:06
273,קצר,11,יובל,משלי,1:33:02
20006,קצר,12,אלכסנדר,גולצר,1:40:07
5027,קצר,13,יעל,רגב,1:40:57
2490,קצר,14,דליה,רביד,1:41:33
6269,קצר,15,עופר,בן-דוד,1:42:29
2599,קצר,16,אלכס,פרידמן,1:44:13
603,קצר,17,מנחם,מינסקי,1:44:32
4820,קצר,18,רון,טויג,1:49:34
20017,קצר,19,נופר,מלכה,1:49:42
20000,קצר,20,sheva,geva bat,1:50:55
274,קצר,21,ליסה,משלי,1:57:59
20018,קצר,22,שחף,סטודניה,1:58:27
6695,קצר,23,נורית,זאבי,2:01:05
20005,קצר,24,עומר,גולדשטיין,2:06:25
7049,קצר,25,דרור,הראל,2:16:09
20010,קצר,26,רוני,טל,2:16:14
4619,קצר,27,שקד,בן ימיני,2:23:09
15002,קצר,,שרון,אבן,DISQ
5934,קצר,,אורית,ריינהרץ,DISQ
5715,קצר,,יעל,כספי,DISQ
4745,קצר,,זוריק,מאירוב,DISQ
6495,קצר,,עדי,ויסמן,DISQ
20001,קצר,,אמיר,בן דרור,DISQ
514,קצר,,וורן,גרין,DISQ
7000,קצרצר,1,עמית,ורבין,0:36:54
17000,קצרצר,2,ויקטוריה,פלפץ,1:00:03
2219,קצרצר,3,בארי,כהן,1:02:33
20013,קצרצר,4,בן,לדרמן,1:23:28
6066,קצרצר,5,איתי,גנצ'רסקי,1:23:38
20012,קצרצר,6,מעין,יצחקי,1:23:41
1506,קצרצר,7,דניאל,לוי,1:23:59
20023,קצרצר,8,אסף,פריינדליך,1:31:59
7022,קצרצר,9,מאיה,לוי,1:34:07
7062,קצרצר,10,יערה,יעקבי,1:34:35
20014,קצרצר,11,אור,לוי,1:36:00
6918,קצרצר,12,אריאל,לוי,1:45:33
7021,קצרצר,13,יוליה,לוי,1:45:39
20015,קצרצר,14,שי,לוי,1:46:58
6071,קצרצר,15,ענבל,טויג,1:48:35
1212,קצרצר,,עמיר,פאר,DISQ
4120,קצרצר,,רון,פלוטקין,DISQ
6054,קצרצר,,רונה,גרנט,DISQ
4372,קצרצר,,נגיב,נסראלדין,DISQ
2146,קצרצר,,עמית,חדד,DISQ
