runnerId,category,position,famname,usrname,time
6099,ארוך,1,רועי,אלפרט,0:47:07
2959,ארוך,2,יקיר,גולדנר,0:49:23
3475,ארוך,3,אשל,ליפמן,0:53:31
4002,ארוך,4,יבגני,מאירקוביץ,0:55:46
1651,ארוך,5,נועם,רביד,0:58:00
822,ארוך,6,חגי,לדרר,1:00:00
4377,ארוך,7,אורן,שפירא,1:01:10
3055,ארוך,8,אילן,צוק,1:02:49
3084,ארוך,9,אלכס,ליפוביץ,1:03:05
1925,ארוך,10,נמרוד,כהן,1:05:03
6428,ארוך,11,ולרי,גלוזשטיין,1:06:17
3198,ארוך,12,שלומי,כהן,1:07:57
1226,ארוך,13,עדו,ברית,1:08:31
4239,ארוך,14,אמיר,חלבה,1:09:10
3015,ארוך,15,דמיטרי,פרצ'ונוק,1:09:43
5759,ארוך,16,ירון,ארצי,1:10:48
4260,ארוך,17,מארינה,מאירקוביץ,1:12:56
3989,ארוך,18,נתי,שמע,1:13:24
5998,ארוך,19,חנן,מעוז,1:13:43
4850,ארוך,20,יוחאי,שפי,1:14:02
3635,ארוך,21,צחי,לוין,1:14:04
1084,ארוך,22,עוזי,אבנר,1:15:18
5722,ארוך,23,ים,שדמי,1:15:33
5105,ארוך,24,שאול,ויסמן,1:16:26
6932,ארוך,25,גל,גולדשטיין,1:17:30
4000,ארוך,26,דניאל,רז-רוטשילד,1:18:24
6051,ארוך,27,דודי,גורין,1:19:31
3501,ארוך,28,דביר,שכטר,1:20:02
4166,ארוך,29,תמיר,אלוש,1:21:34
2240,ארוך,30,צחר,נהרי,1:23:22
4547,ארוך,31,ערן,כץ,1:27:51
12,ארוך,32,דורון,קינר,1:28:39
3549,ארוך,33,אילן,גלזר,1:30:01
6369,ארוך,34,ארתור,טייטר ,1:31:04
4372,ארוך,35,נגיב,נסראלדין,1:35:05
6309,ארוך,36,גיל,אליאס,1:37:53
6993,ארוך,37,אריה,יעקבי,1:39:06
3544,ארוך,38,אפק,גול,1:47:25
5026,ארוך,39,רועי,שימרון,1:49:06
3533,ארוך,40,אלדד,לוי,1:50:23
20003,ארוך,41,שחר,אידלס,2:09:39
1026,ארוך,,אורי,קוצר,DISQ
3358,ארוך,,אשר,פלוט,DISQ
3592,ארוך,,מופז,שמואלי,DISQ
6317,בינוני,1,עומר,סט,0:47:07
3560,בינוני,2,ארם,יעקבי,0:47:17
6170,בינוני,3,מעיין,לוי,0:47:38
5185,בינוני,4,עילם,ברזק,0:47:47
1342,בינוני,5,זיו,נוימן,0:48:19
4929,בינוני,6,אליק,אבידן,0:48:53
6381,בינוני,7,יהונתן,לוינסון,0:51:11
3054,בינוני,8,אדי,כצמן,0:51:12
20000,בינוני,9,Oren,Rigbi,0:55:59
3039,בינוני,10,רפי,הימן,0:56:54
522,בינוני,11,יניב,ריינהרץ,0:59:22
5349,בינוני,12,איתי,שחורי,0:59:32
4797,בינוני,13,צפריר,מינצר,1:01:15
5116,בינוני,14,ניר,קלקשטיין,1:01:20
20004,בינוני,15,אורי,בן זאב,1:03:01
2701,בינוני,16,ג'ים,פרישפלס,1:03:33
3762,בינוני,17,תומר,גנוסר,1:05:14
4805,בינוני,18,מודי,בוכבינדר,1:08:11
6429,בינוני,19,לודמילה,גלוזשטיין,1:08:28
4378,בינוני,20,דרור,מלמד,1:08:55
3375,בינוני,21,רועי,מנדל,1:09:38
6196,בינוני,22,פיני,יפה,1:11:52
3337,בינוני,23,מיכאל,קליימן,1:13:07
