runnerId,category,position,famname,usrname,time
5960,ארוך,1,מעין,יוגב,0:46:55
7260,ארוך,2,איליה,גוסב,0:54:27
4002,ארוך,3,יבגני,מאירקוביץ,0:55:09
3582,ארוך,4,גל,איזביצקי,0:55:35
4612,ארוך,5,עמוס,יערי,0:56:46
1651,ארוך,6,נועם,רביד,0:58:08
822,ארוך,7,חגי,לדרר,1:00:43
7188,ארוך,8,אנטון,פדוסין,1:01:57
4886,ארוך,9,יגאל,ויינר,1:05:30
5759,ארוך,10,ירון,ארצי,1:07:53
4247,ארוך,11,עמית,יצחקי,1:09:53
4879,ארוך,12,דמיטרי,קוזנצוב,1:10:29
5723,ארוך,13,שחר,שפר,1:12:44
6309,ארוך,14,גיל,אליאס,1:12:44
7218,ארוך,15,פבל,בוז׳קו,1:13:53
1226,ארוך,16,עדו,ברית,1:16:29
4000,ארוך,17,דניאל,רז-רוטשילד,1:17:27
7266,ארוך,18,Aleksandr,Zavialov,1:17:33
6390,ארוך,19,אופיר,גור,1:17:57
7241,ארוך,20,פבל,גברילוב,1:19:22
20007,ארוך,21,בוריס,גורבונצוב,1:19:37
7175,ארוך,22,אלכסנדר,קלוקין,1:22:38
6074,ארוך,23,רז,רובין ,1:22:41
5716,ארוך,24,יואב,וינשל,1:23:46
4260,ארוך,25,מארינה,מאירקוביץ,1:24:30
4330,ארוך,26,מיכאל,בולוטני,1:27:50
3015,ארוך,27,דמיטרי,פרצ'ונוק,1:28:26
5105,ארוך,28,שאול,ויסמן,1:29:12
7177,ארוך,29,מיכאיל,קורוטייב,1:30:35
3647,ארוך,30,שי,רם,1:34:17
6429,ארוך,31,לודמילה,גלוזשטיין,1:38:37
4372,ארוך,32,נגיב,נסראלדין,1:40:27
6369,ארוך,33,ארתור,טייטר ,1:43:23
3957,ארוך,34,דוד,סמואלס,1:44:21
3145,ארוך,35,ירון,נחושתן,1:48:45
4,ארוך,36,מוטי,שור,1:56:50
2784,ארוך,37,משה,מנור,2:03:33
931,ארוך,,עינב,ברנס,DISQ
3989,ארוך,,נתי,שמע,DISQ
6428,ארוך,,ולרי,גלוזשטיין,DISQ
7245,ארוך,,הילל,בקר-וולנרמן,DISQ
3563,ארוך,,אבי,בר,DISQ
3309,ארוך,,זף,סגל,DISQ
4397,ארוך,,איל,רונן,DISQ
6685,בינוני,1,סהר,אשל,0:34:00
6381,בינוני,2,יהונתן,לוינסון,0:41:17
3501,בינוני,3,דביר,שכטר,0:41:33
6073,בינוני,4,שחר,יוגב,0:41:57
6279,בינוני,5,שי,שפר,0:42:01
3592,בינוני,6,מופז,שמואלי,0:45:33
5944,בינוני,7,יואב,שלו,0:46:28
5913,בינוני,8,אלון,שחורי,0:46:59
6807,בינוני,9,רונן,שוב,0:47:55
5961,בינוני,10,רביב,יוגב,0:49:39
2424,בינוני,11,עופר,גרנט,0:50:05
6983,בינוני,12,פבל,קלניצקי,0:50:31
4377,בינוני,13,אורן,שפירא,0:50:42
7117,בינוני,14,כליל,סולאג',0:51:17
6978,בינוני,15,דוד,יצקוביץ',0:51:48
1342,בינוני,16,זיו,נוימן,0:51:52
7170,בינוני,17,אלמוג,שרון,0:52:27
2421,בינוני,18,רז,אימבר,0:53:12
5565,בינוני,19,רן,שביב,0:53:42
3054,בינוני,20,אדי,כצמן,0:54:02
6986,בינוני,21,בר,מעין,0:55:26
3853,בינוני,22,ליעד,שחר,0:55:35
5349,בינוני,23,איתי,שחורי,0:55:52
5966,בינוני,24,אלכסנדר,קוזלוב,0:56:11
4797,בינוני,25,צפריר,מינצר,0:57:47
6305,בינוני,26,עופרי,יעקבי,0:57:59
3127,בינוני,27,אלי,סרגה,0:58:05
6981,בינוני,28,איתי,אוחנה,0:59:24
6808,בינוני,29,ניב,יקיר,0:59:44
6329,בינוני,30,יואב,בר-גד,1:00:13
5986,בינוני,31,אריאל,דה-קוסטה,1:00:21
3876,בינוני,32,ירון,אפרת,1:00:33
522,בינוני,33,יניב,ריינהרץ,1:00:52
5937,בינוני,34,דרור,ריינהרץ,1:01:36
6170,בינוני,35,מעיין,לוי,1:03:21
6214,בינוני,36,מעין,אליאס,1:03:42
7265,בינוני,37,Yulia,Zavialova,1:03:43
1751,בינוני,38,דרור,צפורי,1:04:58
3198,בינוני,39,שלומי,כהן,1:05:10
2730,בינוני,40,איתן,עמיעז,1:05:24
6117,בינוני,41,שלו,לדרר,1:05:42
6051,בינוני,42,דודי,גורין,1:05:51
12,בינוני,43,דורון,קינר,1:07:00
741,בינוני,44,עוז,איזביצקי,1:07:59
6458,בינוני,45,יזהר,בר-גד,1:10:06
5078,בינוני,46,איליה,לישנקו,1:10:33
4378,בינוני,47,דרור,מלמד,1:11:53
2447900,בינוני,48,נועם,מנור,1:12:15
3137,בינוני,49,אלעזר,גור,1:13:51
6671,בינוני,50,כרמל,לוי,1:14:13
3549,בינוני,51,אילן,גלזר,1:16:59
3453,בינוני,52,דן,וולשטיין,1:19:33
1095,בינוני,53,שלמה,רז,1:19:46
1214,בינוני,54,חגי,אלעד,1:20:57
1782,בינוני,55,נעמי,רביד,1:25:31
1755,בינוני,56,עופר,יודפת,1:25:35
3337,בינוני,57,מיכאל,קליימן,1:26:35
6100,בינוני,58,איל,ליאור,1:27:11
7089,בינוני,59,אביה,נחמני,1:29:20
4036,בינוני,60,איתן,הלוי,1:29:25
4409,בינוני,61,רמי,ליפמן,1:31:22
6283,בינוני,62,עופר,זיינפלד,1:33:39
4646,בינוני,63,יעל,רביד,1:33:43
7152,בינוני,64,נטע,רימרמן-שדמה,1:41:13
6326,בינוני,65,משה,שלו,1:43:00
115,בינוני,66,אנדרה,קוצר,1:44:33
5549,בינוני,67,שימי,חובב,1:48:05
7008,בינוני,68,יהל,שפי,1:53:07
5006,בינוני,69,לובוב,לפושנר,2:01:49
4633,בינוני,70,ישראל,וגנר,3:05:26
6056,בינוני,,גאיה,מצפון,DISQ
7162,בינוני,,נועה,פסטר-להב,DISQ
6982,בינוני,,יניב,לוי ,DISQ
5623,בינוני,,רועי,פיינשטיין,DISQ
20026,בכיף_ספורטיבי,1,כץ,דנה,0:47:39
25000,בכיף_ספורטיבי,2,תום,אטיאס,0:58:54
20027,בכיף_ספורטיבי,3,אסטמקר,זהר  ,1:08:42
5673,קצר,1,עידן,ורבין,0:43:55
6971,קצר,2,כרמל,יוגב,0:45:34
7235,קצר,3,עידו,פסטר,0:46:37
6987,קצר,4,יהונתן,לוין,0:48:42
3193,קצר,5,תומר,שגב,0:52:51
883,קצר,6,שי,כספי,0:54:14
5095,קצר,7,ענת,שחר-נוימן,0:55:57
7270,קצר,8,נורית,מימון ,0:56:40
3861,קצר,9,סבטלנה,סטפנוב,0:57:02
3862,קצר,10,ולרי,סטפנוב,0:57:06
3404,קצר,11,קטרינה,יופה,0:58:31
7116,קצר,12,יונתן,יעקובוביץ,0:58:47
5971,קצר,13,עמירן,ברקוביץ,1:00:05
6072,קצר,14,דפנה,יוגב,1:01:49
7178,קצר,15,איתן,שגיא,1:01:59
3336,קצר,16,איתיאל,תלם,1:03:14
5934,קצר,17,אורית,ריינהרץ,1:04:58
4654,קצר,18,רותם,קמר,1:05:01
3778,קצר,19,סופיה,מאירקוביץ,1:07:25
228,קצר,20,אבנר,הלחמי,1:10:00
6395,קצר,21,מרב,ברקוביץ,1:10:12
5224,קצר,22,ולדימיר,פדוסין,1:10:29
514,קצר,23,וורן,גרין,1:10:51
20006,קצר,24,ארן,גולדפינגר,1:11:25
274,קצר,25,ליסה,משלי,1:13:42
6495,קצר,26,עדי,ויסמן,1:15:18
2604,קצר,27,שאול,שפי,1:15:57
7006,קצר,28,פולויאן,זכר,1:16:19
1446,קצר,29,נחמן,אש,1:16:44
4165,קצר,30,רות,אלוש,1:17:22
1995,קצר,31,שמואל,אשר,1:19:02
2490,קצר,32,דליה,רביד,1:19:46
4841,קצר,33,יצחק,נוסבוים,1:21:16
3859,קצר,34,איל,נתנאל,1:21:24
7,קצר,35,צביקה,דודלזק,1:21:25
605,קצר,36,מאיר,בן-שטרית,1:21:30
4820,קצר,37,רון,טויג,1:21:33
20023,קצר,38,חמוטל,שלום,1:21:49
4842,קצר,39,שרון,נוסבוים,1:22:27
7180,קצר,40,פליקס,שוב,1:23:06
4410,קצר,41,יעל,ליפמן,1:23:29
25003,קצר,42,טויל,נאור,1:24:06
2892,קצר,43,אשר,שמואלי,1:24:35
3089,קצר,44,מיקי,גרינברג,1:27:01
7165,קצר,45,יהונתן,בלמן,1:28:56
4545,קצר,46,אוריין,דגן,1:30:08
273,קצר,47,יובל,משלי,1:31:45
5066,קצר,48,רות,רן,1:34:10
4017,קצר,49,שמאי,רן,1:34:15
2489,קצר,50,משה,רביד,1:34:21
4210,קצר,51,אבי,פנפיל,1:34:42
7176,קצר,52,לינה,מילר,1:35:02
