runnerId,category,position,famname,usrname,time
822,ארוך,1,חגי,לדרר,0:47:54
4501,ארוך,2,רעי,גוטמן,0:48:48
1700,ארוך,3,אבי,מלץ,0:51:10
5723,ארוך,4,שחר,שפר,0:51:59
5705,ארוך,5,אלון,זורע,0:52:21
1651,ארוך,6,נועם,רביד,0:53:07
4002,ארוך,7,יבגני,מאירקוביץ,0:54:51
3475,ארוך,8,ליפמן,אשל,0:55:09
7188,ארוך,9,אנטון,פדוסין,0:58:30
4843,ארוך,10,איתם,נוסבוים,0:59:41
3055,ארוך,11,אילן,צוק,1:02:05
2424,ארוך,12,עופר,גרנט,1:03:03
6279,ארוך,13,שי,שפר,1:03:57
6496,ארוך,14,גאורגי,אילגץ׳,1:05:47
3139,ארוך,15,נדב,בן שטרית,1:06:48
3501,ארוך,16,דביר,שכטר,1:06:56
7211,ארוך,17,אלכסנדר,רמזנוב,1:07:08
6807,ארוך,18,רונן,שוב,1:07:12
4499,ארוך,19,עדי,גוטמן,1:08:07
5944,ארוך,20,יואב,שלו,1:10:55
5675,ארוך,21,יובל,קלקשטיין,1:11:04
3039,ארוך,22,רפי,הימן,1:12:53
4879,ארוך,23,דמיטרי,קוזנצוב,1:12:59
5565,ארוך,24,רן,שביב,1:13:07
3054,ארוך,25,אדי,כצמן,1:14:19
4260,ארוך,26,מארינה,מאירקוביץ,1:18:51
6256,ארוך,27,מקסים,טייטר,1:19:43
2730,ארוך,28,איתן,עמיעז,1:20:42
4372,ארוך,29,נגיב,נסראלדין,1:21:48
4166,ארוך,30,תמיר,אלוש,1:21:58
5913,ארוך,31,אלון,שחורי,1:26:19
522,ארוך,32,יניב,ריינהרץ,1:27:00
3208,ארוך,33,אניה,גרינברג,1:27:12
5623,ארוך,34,רועי,פיינשטיין,1:33:26
7131,ארוך,35,מתן,ליאור,1:34:12
6369,ארוך,36,ארתור,טייטר ,1:35:09
4885,ארוך,37,זיו,קלדרון,1:36:29
5105,ארוך,38,שאול,ויסמן,1:38:04
3209,ארוך,39,גיל,גרינברג,1:41:30
20028,ארוך,40,מתן,עפרון,1:42:10
2988,ארוך,41,נבות,זילברשטיין,1:45:57
3544,ארוך,42,אפק,גול,1:59:45
20001,ארוך,43,אופיר,אורי,2:10:33
3708,ארוך,44,אלי,גור,2:22:37
2797,ארוך,45,יהודה,גוטמן,2:41:11
7072,ארוך,46,יובל,אופיר,2:58:58
6685,ארוך,,סהר,אשל,DISQ
20007,ארוך,,מתן,אפרתי,DISQ
20036,ארוך,,דני,רפאלי,DISQ
20008,ארוך,,קוסטיה,בר,DISQ
4410,ארוך,,יעל,ליפמן,DISQ
6329,ארוך,,יואב,בר-גד,DISQ
12,ארוך,,דורון,קינר,DISQ
30000,ארוך,,גדי,דותן,DISQ
1755,ארוך,,עופר,יודפת,DISQ
3549,ארוך,,אילן,גלזר,DISQ
20002,ארוך,,אילון,אורי,DISQ
6765,ארוך,,נדב,ניב,DISQ
6326,ארוך,,משה,שלו,DISQ
5862,ארוך,,טטיאנה,חוחלובה,DISQ
3778,ארוך,,סופיה,מאירקוביץ,DISQ
43000,בינוני,1,אנטון,פדוסין,0:39:39
30005,בינוני,2,חי,אור,0:57:03
3127,בינוני,3,סרגה,אלי,0:58:18
5677,בינוני,4,ולדיסלב,גוברדובסקי,1:10:26
5052,בינוני,5,איה,ובמן,1:11:05
228,בינוני,6,אבנר,הלחמי,1:14:26
3964,בינוני,7,דניס,זידנוב,1:15:46
5349,בינוני,8,איתי,שחורי,1:16:09
6808,בינוני,9,ניב,יקיר,1:16:45
4006,בינוני,10,אנדרי,איגנטוב,1:17:00
4017,בינוני,11,שמאי,רן,1:18:20
4805,בינוני,12,מודי,בוכבינדר,1:20:30
5426,בינוני,13,ליל,שינדלר,1:24:27
3853,בינוני,14,ליעד,שחר,1:27:24
5593,בינוני,15,לידי,שינדלר,1:27:55
5178,בינוני,16,אביב,טל,1:28:42
1751,בינוני,17,דרור,צפורי,1:29:42
3453,בינוני,18,דן,וולשטיין,1:32:51
5448,בינוני,19,און,שחורי,1:33:41
7117,בינוני,20,כליל,סולאג',1:34:57
6946,בינוני,21,אלדד,עפרון,1:35:42
6949,בינוני,22,איתן,עפרון,1:35:46
552,בינוני,23,אייל,רז,1:42:11
3563,בינוני,24,אבי,בר,1:44:52
4841,בינוני,25,יצחק,נוסבוים,1:50:33
4646,בינוני,26,יעל,רביד,1:52:55
2489,בינוני,27,משה,רביד,1:53:27
1320,בינוני,28,מולי,מלכא,1:53:31
1782,בינוני,29,נעמי,רביד,1:53:47
5715,בינוני,30,יעל,כספי,1:55:30
4394,בינוני,31,קובי,מצגר,2:00:52
7,בינוני,32,צביקה,דודלזק,2:06:10
3734,בינוני,33,נעם,מאירי,2:12:56
3089,בינוני,34,מיקי,גרינברג,2:45:23
4409,בינוני,,רמי,ליפמן,DISQ
6283,בינוני,,עופר,זיינפלד,DISQ
6514,בינוני,,חגית,רוטשטיין,DISQ
6039,בינוני,,ניצן,שלו,DISQ
3446,בינוני,,שחר-3446,ארד,DISQ
30006,בינוני,,יואב,מאיר,DISQ
6117,בינוני,,שלו,לדרר,DISQ
20024,בינוני,,טל,מלכה,DISQ
20034,בינוני,,נדב,קלמר,DISQ
20033,בינוני,,עומר,קלמר ,DISQ
6100,בינוני,,איל,ליאור,DISQ
3145,בינוני,,ירון,נחושתן,DISQ
3613,בינוני,,גיורא,גולדהכט,DISQ
4008,בינוני,,אידה,איגנטוב,DISQ
5937,בינוני,,דרור,ריינהרץ,DISQ
5934,בינוני,,אורית,ריינהרץ,DISQ
5450,בינוני,,יונתן,שחורי,DISQ
30002,בינוני,,אלון,דוידוביץ',DISQ
30001,בינוני,,איתי,דוידוביץ',DISQ
5549,בינוני,,שימי,חובב,DISQ
30007,בינוני,,יותם,גרידינגר,DISQ
1095,בינוני,,שלמה,רז,DISQ
20005,בכיף ספורטיבי,1,פרי,איתן,0:43:03
30100,בכיף ספורטיבי,2,אימרי,פירסט,0:46:48
40000,בכיף ספורטיבי,3,אליעזר,גרוס,0:48:28
7009,בכיף ספורטיבי,4,איילה,שפי,2:30:38
20026,בכיף ספורטיבי,,באר,נטע,DISQ
5224,קצר,1,ולדימיר,פדוסין,0:50:36
3482,קצר,2,עומר,פוביצר,0:50:40
4036,קצר,3,איתן,הלוי,0:55:12
883,קצר,4,שי,כספי,0:56:22
605,קצר,5,מאיר,בן-שטרית,0:58:55
1759,קצר,6,ישראל,קורנברג,1:02:38
6813,קצר,7,אריאל,צינדר,1:04:27
5116,קצר,8,ניר,קלקשטיין,1:05:09
3336,קצר,9,איתיאל,תלם,1:05:56
16001,קצר,10,קובאסוב,גיאורגי,1:08:39
20013,קצר,11,עומר,גולדשטיין,1:10:45
4920,קצר,12,מי-טל,קלמנוביץ,1:11:13
6796,קצר,13,גייר,דרור,1:12:42
7082,קצר,14,רוטשילד,נועם,1:13:36
4210,קצר,15,אבי,פנפיל,1:13:46
7006,קצר,16,פולויאן,זכר,1:13:50
2255,קצר,17,סיון,קינר,1:14:02
6966,קצר,18,רועי,לוז,1:14:10
3191,קצר,19,עפר,אביטל,1:15:02
5066,קצר,20,רות,רן,1:16:18
16000,קצר,21,קובאסוב,איליה,1:16:35
6888,קצר,22,כפיר,רימברג,1:17:10
7081,קצר,23,ברוך,ליאור,1:19:41
4842,קצר,24,שרון,נוסבוים,1:21:01
4545,קצר,25,אוריין,דגן,1:21:06
4165,קצר,26,רות,אלוש,1:21:08
6121,קצר,27,דוד,בן-שלום,1:21:29
274,קצר,28,ליסה,משלי,1:22:17
6495,קצר,29,עדי,ויסמן,1:27:27
4203,קצר,30,חגי,אשל,1:27:30
7137,קצר,31,דן,גרדי,1:31:02
4007,קצר,32,אנה,איגנטוב,1:31:14
5791,קצר,33,זיו,שינדלר,1:31:45
2892,קצר,34,אשר,שמואלי,1:33:51
7152,קצר,35,נטע,רימרמן-שדמה,1:34:08
1995,קצר,36,שמואל,אשר,1:36:57
7018,קצר,37,סלע,מיקה,1:37:19
3312,קצר,38,אבה,טייט,1:37:31
7207,קצר,39,עופר,סופר,1:38:45
273,קצר,40,יובל,משלי,1:39:37
7016,קצר,41,סופר,יותם,1:39:45
2490,קצר,42,דליה,רביד,1:41:44
5914,קצר,43,בתשבע,גבע,1:41:56
6380,קצר,44,צפי,נטיף,1:42:03
4828,קצר,45,דן,ליבר,1:42:07
3279,קצר,46,יונה,הימן,1:54:50
5974,קצר,47,יהודית,שינדלר-ברגמן,1:57:57
17000,קצר,48,גולצר,מריה,2:09:03
7067,קצר,49,נדב,פרידמן,2:22:01
5199,קצר,50,נורית,שמואלי,2:23:56
20006,קצר,,גולצר,אלכסנדר,DISQ
2011,קצר,,יונתן,דביר,DISQ
20020,קצר,,רוני,טל,DISQ
19000,קצר,,שמיר,חילי,DISQ
6885,קצר,,אורנה,גורקה,DISQ
2599,קצר,,אלכס,פרידמן,DISQ
514,קצר,,וורן,גרין,DISQ
7015,קצר,,סלומון,תמר,DISQ
20018,קצר,,רענן,הס,DISQ
5625,קצר,,אבנר,צפורי,DISQ
5673,קצר,,עידן,ורבין,DISQ
7000,קצרצר,1,עמית,ורבין,0:33:02
6972,קצרצר,2,עדי,יוגב,0:41:29
2801,קצרצר,3,רועי,ברג,0:46:44
7138,קצרצר,4,עינת,גרדי,0:50:35
603,קצרצר,5,מנחם,מינסקי,0:54:38
6967,קצרצר,6,אלינור,פבישביץ,0:56:38
7046,קצרצר,7,יאן,מורגוליס,1:06:20
6736,קצרצר,8,איתן,לדרר,1:09:59
7047,קצרצר,9,בן,לדרמן ,1:12:54
20010,קצרצר,10,שדמה,ברק,1:19:32
20022,קצרצר,11,פוגל,לני הילר,1:19:37
30102,קצרצר,12,מוריה,רוטמן,1:20:05
20004,קצרצר,13,ויסר,איל,1:20:55
20027,קצרצר,14,רוטשילד,עומרי,1:21:04
20021,קצרצר,15,פוקס,יונתן,1:21:10
6227,קצרצר,16,לירדן,שינדלר,1:28:52
2701,קצרצר,17,ג'ים,פרישפלס,1:36:46
20035,קצרצר,,גל,ריסי,DISQ
45000,קצרצר,,יואב,ברג,DISQ
