runnerId,category,position,famname,usrname,time
471,Long-M45,1,עמית,ויינר,1:22:08
2240,Long-M45,2,צחר,נהרי,1:31:58
5565,Long-M45,3,רן,שביב,1:32:17
3715,Long-M45,4,אורי,הדר,1:33:23
1651,Long-M45,5,נועם,רביד,1:34:37
3957,Long-M45,6,דוד,סמואלס,1:39:35
86,Long-M45,7,עזרא,ברקאי,1:42:54
6308,Long-M45,8,תמיר,זקן,2:03:16
3376,Long-M45,9,אייל,גנדלמן,2:14:37
3915,Long-M45,10,הדר,לוין,2:31:21
2797,Long-M45,11,יהודה,גוטמן,2:35:36
941,Long-M45,12,דותן,כנען,2:43:25
3417,Long-M45,,אסף,אשכנזי,DISQ
3904,Long-Open,1,גל,כהן,1:14:50
3364,Long-Open,2,ארז,שלו,1:29:01
6099,Long-Open,3,רועי,אלפרט,1:41:51
4501,Long-Open,4,רעי,גוטמן,1:49:57
4603,Short-M45,1,אליק,אבידן,0:52:45
2424,Short-M45,2,עופר,גרנט,0:57:24
3198,Short-M45,3,שלומי,כהן,0:57:41
3209,Short-M45,4,גיל,גרינברג,1:11:07
1169,Short-M45,5,גיל,שכטר,1:18:52
3137,Short-M45,6,אלעזר,גור,1:24:16
6658,Short-M45,7,אלון,סלפק,1:31:10
20000,Short-M45,8,Igor,Khaustov,2:18:58
20004,Short-M45,9,איל,ברנע,2:19:29
18,Short-M60,1,שמעון,שומרוני,0:55:36
1084,Short-M60,2,עוזי,אבנר,0:59:49
5349,Short-M60,3,איתי,שחורי,1:04:36
6,Short-M60,4,אריק,שור,1:07:30
5169,Short-M60,5,אלי,ניניו,1:14:34
3859,Short-M60,6,איל,נתנאל,1:23:57
2784,Short-M60,7,משה,מנור,1:27:50
4394,Short-M60,8,קובי,מצגר,1:55:58
7,Short-M60,9,צביקה,דודלזק,1:58:18
4797,Short-M60,,צפריר,מינצר,DISQ
3309,Short-MOpen,1,זף,סגל,0:57:44
822,Short-MOpen,2,חגי,לדרר,1:00:38
7137,Short-MOpen,3,דן,גרדי,1:17:26
21012,Short-MOpen,4,איליי,פילדס,1:18:24
